Model|EmbSize|CellType|n_Layers|Hidden|Dropout|Optimizer|LR|L2|EPs|BestValidAUC|TestAUC|atEpoch
Model|EmbSize|CellType|n_Layers|Hidden|Dropout|Optimizer|LR|L2|EPs|BestValidAUC|TestAUC|atEpoch
Model|EmbSize|CellType|n_Layers|Hidden|Dropout|Optimizer|LR|L2|EPs|BestValidAUC|TestAUC|atEpoch
Model|EmbSize|CellType|n_Layers|Hidden|Dropout|Optimizer|LR|L2|EPs|BestValidAUC|TestAUC|atEpoch
Model|EmbSize|CellType|n_Layers|Hidden|Dropout|Optimizer|LR|L2|EPs|BestValidAUC|TestAUC|atEpoch
Model|EmbSize|CellType|n_Layers|Hidden|Dropout|Optimizer|LR|L2|EPs|BestValidAUC|TestAUC|atEpoch
Model|EmbSize|CellType|n_Layers|Hidden|Dropout|Optimizer|LR|L2|EPs|BestValidAUC|TestAUC|atEpoch
RNN|256|RNN|1|32|0.8325|Adadelta|0.004625906706970935|0.00048772553480210624|2.1720442555356967e-05|0.618904 |0.622577 |24 
RNN|32|RNN|1|512|0.0|Adadelta|0.049787068367863944|1.670170079024566e-05|0.00012340980408667956|0.647104 |0.646623 |8 
RNN|512|RNN|1|32|0.0|Adadelta|0.049787068367863944|1.670170079024566e-05|3.059023205018258e-07|0.661908 |0.671415 |24 
RNN|32|RNN|1|512|1.0|Adadelta|0.049787068367863944|1.670170079024566e-05|3.059023205018258e-07|0.663754 |0.650331 |24 
RNN|512|RNN|1|512|0.0|Adadelta|0.00012340980408667956|1.670170079024566e-05|0.00012340980408667956|0.591441 |0.595748 |24 
Model|EmbSize|CellType|n_Layers|Hidden|Dropout|Optimizer|LR|L2|EPs|BestValidAUC|TestAUC|atEpoch
RNN|256|RNN|1|256|0.1|Adadelta|0.006737946999085467|0.00012340980408667956|2.2603294069810542e-06|0.679164 |0.699452 |22 
RNN|256|RNN|2|256|0.1836|Adadelta|0.00013440311596892905|0.02190215531810338|6.164386149952138e-06|0.484645 |0.487145 |23 
Model|EmbSize|CellType|n_Layers|Hidden|Dropout|Optimizer|LR|L2|EPs|BestValidAUC|TestAUC|atEpoch
RNN|256|RNN|1|256|0.1|Adadelta|0.006737946999085467|0.00012340980408667956|2.2603294069810542e-06|0.671007 |0.699590 |22 
RNN|128|RNN|1|32|0.4476|Adadelta|0.00022783959152539981|0.016899848026669856|1.1281978325191733e-05|0.553082 |0.531499 |2 
RNN|256|RNN|1|256|0.1|Adadelta|0.006737946999085467|0.00012340980408667956|2.2603294069810542e-06|0.694590 |0.693151 |24 
RNN|64|RNN|1|256|0.2735|Adadelta|0.014093124841081535|0.013674091812359892|8.136397091115924e-05|0.673500 |0.670386 |13 
RNN|128|RNN|1|32|0.8345|Adadelta|0.001201847211122223|1.818934313186361e-05|1.309612419463535e-06|0.490077 |0.484469 |3 
RNN|64|RNN|1|256|0.7502|Adadelta|0.04326014338791812|7.775385152265143e-05|2.047403528208495e-05|0.686949 |0.688661 |14 
RNN|128|RNN|2|256|0.8404|Adadelta|0.002003664977258331|9.871023922558579e-05|7.231285963296739e-06|0.552319 |0.536840 |14 
RNN|256|RNN|2|32|0.1364|Adadelta|0.00020695049198395682|0.00017865076856092322|4.38617968532319e-06|0.494946 |0.500210 |4 
RNN|512|RNN|3|32|0.0|Adadelta|0.049787068367863944|0.1353352832366127|3.059023205018258e-07|0.487404 |0.496081 |0 
RNN|32|RNN|1|512|0.0|Adadelta|0.00012340980408667956|0.1353352832366127|3.059023205018258e-07|0.551891 |0.558933 |0 
RNN|512|RNN|1|512|0.0|Adadelta|0.049787068367863944|1.670170079024566e-05|0.00012340980408667956|0.705109 |0.722480 |8 
RNN|32|RNN|1|512|0.0|Adadelta|0.049787068367863944|1.670170079024566e-05|3.059023205018258e-07|0.655220 |0.668172 |23 
RNN|32|RNN|1|512|0.0|Adadelta|0.00012340980408667956|1.670170079024566e-05|0.00012340980408667956|0.512225 |0.517309 |24 
RNN|512|RNN|1|32|0.0|Adadelta|0.049787068367863944|0.0009493790656153999|0.00012340980408667956|0.684909 |0.690455 |15 
RNN|512|RNN|1|512|0.0|Adadelta|0.049787068367863944|0.0033601489746679656|3.059023205018258e-07|0.723023 |0.731135 |13 
RNN|32|RNN|1|512|0.0|Adadelta|0.049787068367863944|0.0029373593600572193|2.8970943317848112e-06|0.669087 |0.664550 |17 
RNN|512|RNN|1|512|0.0|Adadelta|0.00012340980408667956|0.1353352832366127|0.00012340980408667956|0.582495 |0.580542 |24 
RNN|512|RNN|1|512|1.0|Adadelta|0.049787068367863944|0.0013173628017156234|0.00012340980408667956|0.695412 |0.708788 |5 
RNN|512|RNN|1|512|0.0|Adadelta|0.049787068367863944|2.8834037874079868e-05|3.059023205018258e-07|0.713023 |0.735460 |16 
RNN|32|RNN|1|512|0.0|Adadelta|0.049787068367863944|0.00012151783880609817|0.00012340980408667956|0.651653 |0.662372 |8 
RNN|32|RNN|1|32|1.0|Adadelta|0.00012340980408667956|0.1353352832366127|0.00012340980408667956|0.517128 |0.483328 |0 
RNN|512|RNN|1|512|0.0|Adadelta|0.049787068367863944|0.0006253682787338417|7.687588701259849e-06|0.701656 |0.714698 |4 
RNN|512|RNN|1|32|1.0|Adadelta|0.049787068367863944|1.670170079024566e-05|0.00012340980408667956|0.663678 |0.671431 |16 
RNN|128|RNN|1|128|1.0|Adadelta|0.049787068367863944|0.0007205071414857589|3.059023205018258e-07|0.686052 |0.702865 |23 
RNN|512|RNN|1|512|1.0|Adadelta|0.049787068367863944|0.1353352832366127|3.059023205018258e-07|0.694044 |0.700662 |4 
RNN|256|RNN|1|64|1.0|Adadelta|0.049787068367863944|0.1353352832366127|0.00012340980408667956|0.632010 |0.642112 |3 
RNN|32|RNN|1|32|0.0|Adadelta|0.049787068367863944|0.00017772506612260714|0.00012340980408667956|0.658133 |0.662409 |13 
RNN|256|RNN|1|512|1.0|Adadelta|0.04978706807829901|0.0006494195263451563|3.059023205018258e-07|0.718766 |0.724049 |13 
RNN|256|RNN|1|512|1.0|Adadelta|0.049787068367863944|1.670170079024566e-05|1.339096938031507e-05|0.700519 |0.721657 |14 
RNN|256|RNN|1|128|0.0|Adadelta|0.04978706836389652|0.00011459047376453971|1.1847917703457441e-05|0.705002 |0.706612 |9 
RNN|512|RNN|1|512|0.0323|Adadelta|0.0020297365070671035|0.009488087444412785|3.059023205018258e-07|0.676720 |0.679633 |24 
RNN|128|RNN|1|512|0.0|Adadelta|0.049787068367863944|0.0024987257820889234|3.197354933382684e-07|0.700351 |0.712222 |21 
RNN|512|RNN|1|512|0.0|Adadelta|0.049787068367863944|0.00015009370991643658|3.059023206246502e-07|0.712741 |0.730569 |15 
RNN|128|RNN|1|256|1.0|Adadelta|0.04152898415052458|0.0005801858406343072|2.7641705415777463e-06|0.708138 |0.709629 |22 
RNN|512|RNN|1|512|0.8951|Adadelta|0.048006269366205105|0.0014543184581578333|1.8041290821330223e-06|0.705189 |0.730002 |8 
RNN|256|RNN|1|512|0.8556|Adadelta|0.049787068367863944|6.0310125483192024e-05|3.441898058087307e-07|0.711406 |0.727529 |22 
RNN|512|RNN|1|128|0.3463|Adadelta|0.0035022569580824593|0.00054207625839183|0.00012340980408667956|0.678479 |0.685386 |22 
RNN|512|RNN|1|512|1.0|Adadelta|0.049787068367863944|0.000439558970543219|3.059023205018258e-07|0.709447 |0.736940 |13 
RNN|256|RNN|1|256|0.0|Adadelta|0.04978706789456004|5.2669676825843675e-05|8.847567174022266e-06|0.700594 |0.714919 |16 
RNN|128|RNN|1|128|1.0|Adadelta|0.049787068367863944|0.00013950540703805552|0.00012340980408667956|0.693804 |0.687522 |11 
RNN|256|RNN|1|512|0.0|Adadelta|0.049787068367863944|0.0006113737065975323|3.0590234024512575e-07|0.723901 |0.728904 |24 
RNN|256|RNN|1|512|0.0|Adadelta|0.049787068367863944|0.0009076000992899373|6.579354853465628e-07|0.716740 |0.719120 |16 
RNN|512|RNN|1|512|0.0|Adadelta|0.049787068367863944|1.670170079024566e-05|3.059023205018258e-07|0.720063 |0.738044 |14 
RNN|512|RNN|1|512|0.9283|Adadelta|0.049787068367863944|0.008598673002199598|3.0666148774196403e-07|0.703186 |0.737769 |10 
RNN|256|RNN|1|256|0.0|Adadelta|0.049787068367863944|0.005538656800591113|3.406729664148055e-07|0.702482 |0.715282 |14 
RNN|128|RNN|1|256|0.0852|Adadelta|0.04978706370080228|0.000298268265720721|2.9185299927362085e-06|0.695941 |0.709624 |16 
RNN|256|RNN|1|512|0.0|Adadelta|0.049787068367863944|1.670170079024566e-05|3.059023205018258e-07|0.719889 |0.719777 |15 
RNN|256|RNN|1|256|1.0|Adadelta|0.049787068241820685|1.670170079024566e-05|3.059023205018258e-07|0.704503 |0.720455 |22 
RNN|512|RNN|1|512|0.2432|Adadelta|0.04399146384271533|0.0005975828655814206|3.059023205018258e-07|0.721708 |0.728884 |19 
RNN|256|RNN|1|128|0.0|Adadelta|0.049787068367863944|3.0531400538775774e-05|3.0590232206920975e-07|0.698204 |0.716171 |24 
RNN|256|RNN|1|512|0.0|Adadelta|0.049787068367863944|1.670171115222189e-05|3.059023205018258e-07|0.719858 |0.715099 |15 
RNN|512|RNN|1|512|0.0|Adadelta|0.03338380629343423|0.0009506434777446985|2.16760368417366e-06|0.720903 |0.730071 |10 
RNN|512|RNN|1|512|0.0|Adadelta|0.0497870670052116|1.670170079024566e-05|3.0590233075599426e-07|0.718533 |0.733950 |16 
RNN|512|RNN|1|512|0.0|Adadelta|0.049787068367863944|1.6701700821342987e-05|3.059023205260192e-07|0.727617 |0.726891 |12 
RNN|256|RNN|1|128|0.0|Adadelta|0.03990547754373491|0.0017184334211840936|1.8098113180397546e-06|0.701003 |0.715244 |21 
RNN|512|RNN|1|256|1.0|Adadelta|0.049787068367863944|4.967204653465897e-05|3.05902323173849e-07|0.721488 |0.728151 |14 
RNN|256|RNN|1|256|0.0|Adadelta|0.049787068367863944|5.8615010963033595e-05|1.3778258353517071e-05|0.712228 |0.723759 |12 
RNN|512|RNN|1|256|0.999|Adadelta|0.04978706825359547|1.670170079024566e-05|6.534388418789583e-07|0.719755 |0.723410 |11 
RNN|256|RNN|1|512|0.0|Adadelta|0.049787068367863944|3.846072523487641e-05|3.059023205018258e-07|0.721711 |0.715032 |17 
RNN|256|RNN|1|256|0.0|Adadelta|0.039931598145845716|0.0011877998788480354|2.4318708766295134e-06|0.708442 |0.721051 |24 
RNN|256|RNN|1|256|0.0333|Adadelta|0.049787068367863944|1.7409203371649167e-05|3.059023205018258e-07|0.711478 |0.713037 |13 
RNN|256|RNN|1|512|1.0|Adadelta|0.04978706747843079|4.4101008382724904e-05|3.059023205018258e-07|0.711405 |0.720364 |15 
RNN|256|RNN|1|512|0.0|Adadelta|0.049787068367863944|1.670170079024566e-05|3.0590233927505634e-07|0.722721 |0.724065 |23 
RNN|256|RNN|1|256|1.0|Adadelta|0.049787065389478115|0.000547885013131364|8.030725442493917e-06|0.701478 |0.719868 |10 
RNN|512|RNN|1|256|0.0|Adadelta|0.04978706785956769|0.0010495069061045258|3.059023205018258e-07|0.717403 |0.729484 |17 
RNN|256|RNN|1|256|0.0|Adadelta|0.049787068367863944|2.7668150112544414e-05|2.125249218141661e-06|0.711273 |0.725461 |23 
RNN|512|RNN|1|512|1.0|Adadelta|0.026940118967293706|0.0022034552539253374|3.059023205018258e-07|0.714765 |0.731851 |20 
RNN|256|RNN|1|512|1.0|Adadelta|0.049787068367863944|3.475809393278169e-05|2.358014062968342e-06|0.709771 |0.729236 |17 
RNN|512|RNN|1|512|0.0|Adadelta|0.04348866965674055|0.0005446800932192492|3.1767225266247446e-06|0.712075 |0.723161 |6 
RNN|256|RNN|1|512|1.0|Adadelta|0.049787068367863944|0.008980362602151945|3.469582446361393e-06|0.700357 |0.716213 |7 
RNN|512|RNN|1|256|0.9419|Adadelta|0.04978706714116634|3.729218756078191e-05|3.059023205018258e-07|0.706075 |0.716517 |9 
RNN|128|RNN|1|512|0.4868|Adadelta|0.04836437456903918|0.0003375623488688861|1.1191650661736654e-06|0.702171 |0.710395 |23 
RNN|256|RNN|1|256|0.0|Adadelta|0.049787068367863944|1.670170079024566e-05|3.059023205018258e-07|0.718627 |0.717940 |19 
RNN|256|RNN|1|256|1.0|Adadelta|0.049787068367863944|1.670170079024566e-05|3.059023586874754e-07|0.714968 |0.719296 |23 
RNN|512|RNN|1|256|0.0|Adadelta|0.04978706745941944|0.00011657712065254758|3.4184625432002697e-06|0.699133 |0.709451 |4 
RNN|256|RNN|1|512|0.5632|Adadelta|0.04978706322033693|0.0005592465479444882|3.059023205018258e-07|0.703574 |0.708529 |5 
RNN|256|RNN|1|128|0.0|Adadelta|0.049787068367863944|7.81992544208241e-05|0.00012340980408667956|0.682357 |0.696211 |7 
RNN|512|RNN|1|256|0.0|Adadelta|0.049787068367863944|0.0015731930850784047|3.0590241334693604e-07|0.718777 |0.721524 |13 
RNN|512|RNN|1|512|0.0|Adadelta|0.049787068367863944|1.670170079024566e-05|3.059023220928908e-07|0.721699 |0.722882 |7 
RNN|512|RNN|1|512|0.0|Adadelta|0.049787068367863944|0.07292827072892764|3.0590240875201677e-07|0.691187 |0.711711 |7 
RNN|512|RNN|1|256|0.0|Adadelta|0.049787068367863944|1.670170087459099e-05|3.059023217818555e-07|0.708562 |0.733034 |16 
RNN|512|RNN|1|512|0.0|Adadelta|0.04978706744780953|0.0003158026421368999|3.0590232979635257e-07|0.730299 |0.735604 |20 
RNN|512|RNN|1|512|1.0|Adadelta|0.049787068367863944|1.670170375386544e-05|3.05902351082865e-07|0.718030 |0.734388 |13 
RNN|128|RNN|1|512|1.0|Adadelta|0.049787068367863944|0.013486350880130707|3.059023205018258e-07|0.694563 |0.693921 |21 
RNN|256|RNN|1|512|0.0|Adadelta|0.049787068367863944|3.576461774357591e-05|3.059023205018258e-07|0.709877 |0.727799 |24 
RNN|512|RNN|1|256|0.0786|Adadelta|0.03885134960073938|0.0011867160459220938|3.059023235947884e-07|0.711940 |0.718634 |9 
RNN|256|RNN|1|256|0.0|Adadelta|0.04978706744239115|0.0006595726198625374|4.200019843408503e-06|0.709032 |0.715331 |12 
RNN|256|RNN|1|256|1.0|Adadelta|0.04264561441129015|0.002228855261119473|3.0590232052613113e-07|0.714390 |0.725455 |24 
RNN|256|RNN|1|512|1.0|Adadelta|0.030728179011896603|0.0002015437418305472|1.2472579519434333e-06|0.722318 |0.725435 |24 
RNN|512|RNN|1|512|0.959|Adadelta|0.049787068367863944|4.185501586037588e-05|1.4281644247185442e-06|0.703476 |0.711444 |6 
RNN|256|RNN|1|256|0.0|Adadelta|0.049787068367863944|1.670170079024566e-05|1.2286331552313858e-05|0.703497 |0.707658 |16 
RNN|512|RNN|1|256|1.0|Adadelta|0.049787068367863944|0.0004325144852712914|3.059023205018258e-07|0.708797 |0.726469 |19 
RNN|256|RNN|1|256|0.2844|Adadelta|0.04392103301566311|8.962542327582485e-05|1.0482982884719309e-06|0.704385 |0.719213 |19 
RNN|256|RNN|1|256|0.0|Adadelta|0.049787068367863944|0.001149462283805778|3.747868461885147e-06|0.696449 |0.715800 |9 
RNN|512|RNN|1|512|0.0|Adadelta|0.049787068367863944|0.001113951849518461|3.059023205018258e-07|0.716980 |0.734829 |12 
RNN|512|RNN|1|512|0.0|Adadelta|0.04978706621609928|1.670170079024566e-05|3.059023295450812e-07|0.722816 |0.730189 |16 
RNN|256|RNN|1|256|0.3638|Adadelta|0.021361276781728528|0.0008777273983823782|7.690117976914249e-07|0.704626 |0.717812 |23 
RNN|256|RNN|1|512|1.0|Adadelta|0.049787068367863944|1.670170079024566e-05|3.059023205018258e-07|0.707803 |0.721520 |11 
RNN|512|RNN|1|256|0.4159|Adadelta|0.049787068367863944|0.001262930985917646|3.059023205018258e-07|0.710551 |0.718787 |11 
RNN|256|RNN|1|256|0.8211|Adadelta|0.04484298433043679|0.000277364009213959|6.238817096293254e-07|0.714815 |0.724238 |16 
RNN|128|RNN|1|512|0.0|Adadelta|0.049787068367863944|9.246689172731111e-05|2.319639473212281e-06|0.707174 |0.722301 |24 
RNN|512|RNN|1|512|0.0|Adadelta|0.049787045892184155|1.670170079024566e-05|3.0590234487402925e-07|0.707720 |0.737298 |15 
RNN|256|RNN|1|512|0.0|Adadelta|0.04978706636100402|2.5532575077677744e-05|1.3963428252905443e-06|0.714202 |0.716650 |13 
RNN|256|RNN|1|256|0.0|Adadelta|0.0222652313334103|0.0001211032774380099|3.059023205018258e-07|0.704079 |0.708306 |22 
RNN|256|RNN|1|256|0.5726|Adadelta|0.04688293387632542|0.004559312587704627|5.255963227489168e-07|0.696552 |0.715075 |9 
RNN|256|RNN|1|256|1.0|Adadelta|0.04955006328069441|0.000761752434710536|1.6526953383691618e-05|0.689075 |0.704981 |6 
RNN|256|RNN|1|512|1.0|Adadelta|0.04978706770318667|0.0001534319714015101|3.059023205018258e-07|0.713878 |0.725863 |19 
RNN|256|RNN|1|256|0.0|Adadelta|0.049787068192369756|1.6701702107610442e-05|3.0590234151801647e-07|0.709017 |0.718300 |13 
{'max_val': 0.7302988874299419, 'max_params': {'ct_code': 1.0, 'embdim_exp': 9.0, 'layers_n': 1.0000000088269798, 'l2_exp': -8.060393089689764, 'eps_exp': -14.99999996961603, 'hid_exp': 9.0, 'dropout': 0.0, 'opt_code': 1.0, 'dlm_code': 1.0, 'lr_exp': -3.000000018479787}}
RNN|256|RNN|1|256|0.1|Adagrad|0.006737946999085467|0.00012340980408667956|2.2603294069810542e-06|0.713362 |0.721843 |15 
RNN|32|RNN|2|64|0.6962|Adagrad|0.04693076293664921|0.0005762360986656421|5.5939749732888715e-05|0.628615 |0.623093 |4 
RNN|256|RNN|2|128|0.2502|Adagrad|0.00016918419163334262|0.06983240101784648|1.3716207457088805e-06|0.550015 |0.570978 |24 
RNN|256|RNN|2|256|0.4972|Adagrad|0.0017440054132314216|0.0014320262849001235|6.620201395057002e-05|0.697096 |0.691989 |8 
RNN|64|RNN|1|64|0.0528|Adagrad|0.0023926994498044527|0.09823055639169168|8.63216418487374e-07|0.601182 |0.623401 |10 
RNN|32|RNN|1|32|0.5268|Adagrad|0.012857530455943417|5.110924779843835e-05|4.556567250059652e-07|0.660613 |0.655363 |10 
RNN|32|RNN|1|512|0.0|Adagrad|0.00012340980408667956|1.670170079024566e-05|0.00012340980408667956|0.569087 |0.574709 |24 
RNN|32|RNN|3|512|1.0|Adagrad|0.049787068367863944|1.670170079024566e-05|3.059023205018258e-07|0.500000 |0.500000 |0 
RNN|512|RNN|1|32|1.0|Adagrad|0.049787068367863944|0.1353352832366127|0.00012340980408667956|0.639087 |0.649584 |4 
RNN|512|RNN|1|32|0.0|Adagrad|0.049787068367863944|1.670170079024566e-05|0.00012340980408667956|0.678354 |0.683295 |8 
RNN|512|RNN|1|32|1.0|Adagrad|0.00012340980408667956|1.670170079024566e-05|3.059023205018258e-07|0.476291 |0.480512 |0 
